Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Sint Maarten (Dutch part),SXM,Americas,Caribbean,2003,,,,,,
Slovak Republic,SVK,Europe,Eastern Europe,2003,3,76000000000,73.60488,,6930,
Slovenia,SVN,Europe,Southern Europe,2003,4,42174601093,76.85854,,12700,
Solomon Islands,SLB,Oceania,Melanesia,2003,1,571000000,64.6141,,840,
Somalia,SOM,Africa,Eastern Africa,2003,1,,51.7719,,,
South Africa,ZAF,Africa,Southern Africa,2003,2,402000000000,52.52376,,2970,
South Sudan,SSD,Africa,Eastern Africa,2003,0,,50.3741,,,
Spain,ESP,Europe,Southern Europe,2003,5,1060000000000,79.61951,,18100,
Sri Lanka,LKA,Asia,Southern Asia,2003,2,94800000000,73.22232,,950,
St. Kitts and Nevis,KNA,Americas,Caribbean,2003,3,760000000,,,8950,
St. Lucia,LCA,Americas,Caribbean,2003,3,1330000000,72.25473,,4660,
St. Martin (French part),MAF,Americas,Caribbean,2003,0,,77.57073,,,
St. Vincent and the Grenadines,VCT,Americas,Caribbean,2003,3,797000000,70.84915,,4380,
Sudan,SDN,Africa,Northern Africa,2003,1,79600000000,59.05024,,400,
Suriname,SUR,Americas,South America,2003,2,4490000000,68.32963,,1980,
Swaziland,SWZ,Africa,Southern Africa,2003,2,5880000000,45.9581,,1580,
Sweden,SWE,Europe,Northern Europe,2003,5,282000000000,80.09512,,32400,
Switzerland,CHE,Europe,Western Europe,2003,5,276000000000,80.53659,,45630,
Syrian Arab Republic,SYR,Asia,Western Asia,2003,2,,73.73137,,1240,
Tajikistan,TJK,Asia,Central Asia,2003,1,8350000000,65.002,,210,
Tanzania,TZA,Africa,Eastern Africa,2003,1,50100000000,53.28417,,330,
Thailand,THA,Asia,South-eastern Asia,2003,2,572000000000,71.43393,,2170,
Timor-Leste,TLS,Asia,South-eastern Asia,2003,1,1080000000,62.2079,,700,
Togo,TGO,Africa,Western Africa,2003,1,5450000000,53.88712,,290,
Tonga,TON,Oceania,Polynesia,2003,2,415000000,71.17544,,1960,
Trinidad and Tobago,TTO,Americas,Caribbean,2003,3,25100000000,68.78427,,8070,
Tunisia,TUN,Africa,Northern Africa,2003,2,67900000000,73.05122,,2480,
Turkey,TUR,Asia,Western Asia,2003,2,617000000000,71.5742,,3800,
Turkmenistan,TKM,Asia,Central Asia,2003,2,21800000000,64.24039,,990,
Turks and Caicos Islands,TCA,Americas,Caribbean,2003,,,,,,
Tuvalu,TUV,Oceania,Polynesia,2003,,25700000,,,2530,
Uganda,UGA,Africa,Eastern Africa,2003,1,26200000000,49.5878,,250,
Ukraine,UKR,Europe,Eastern Europe,2003,2,249000000000,68.21073,,980,
United Arab Emirates,ARE,Asia,Western Asia,2003,4,310000000000,75.21722,,33560,
United Kingdom,GBR,Europe,Northern Europe,2003,5,1780000000000,78.44634,,32000,
United States,USA,Americas,Northern America,2003,5,11500000000000,77.03659,,39950,
Uruguay,URY,Americas,South America,2003,3,32100000000,75.28451,,4240,
Uzbekistan,UZB,Asia,Central Asia,2003,1,58500000000,67.18661,,420,
Vanuatu,VUT,Oceania,Melanesia,2003,2,419000000,68.65171,,1360,
"Venezuela, RB",VEN,Americas,South America,2003,3,258000000000,72.94456,,3450,
Vietnam,VNM,Asia,South-eastern Asia,2003,1,208000000000,73.77254,,510,
Virgin Islands (U.S.),VIR,Americas,Caribbean,2003,4,,78.17317,,,
West Bank and Gaza,PSE,Asia,Western Asia,2003,0,10400000000,71.20754,,1390,
"Yemen, Rep.",YEM,Asia,Western Asia,2003,1,65400000000,61.09183,,530,
Zambia,ZMB,Africa,Eastern Africa,2003,1,21885729110,46.53863,,400,
Zimbabwe,ZWE,Africa,Eastern Africa,2003,1,20297721109,40.70249,,410,
Taiwan,TWN,Asia,Eastern Asia,2003,4,553000000000,76.87,,14544,
Afghanistan,AFG,Asia,Southern Asia,2004,1,22100000000,56.62632,,220,
Albania,ALB,Europe,Southern Europe,2004,2,16700000000,75.83122,,2150,
Algeria,DZA,Africa,Northern Africa,2004,2,334000000000,71.81627,,2240,
American Samoa,ASM,Oceania,Polynesia,2004,3,,,,,
Andorra,AND,Europe,Southern Europe,2004,,,,,33600,
Angola,AGO,Africa,Middle Africa,2004,2,56300000000,48.00351,,880,
Antigua and Barbuda,ATG,Americas,Caribbean,2004,3,1437736378,74.22615,,10990,
Argentina,ARG,Americas,South America,2004,3,482000000000,74.51878,,3560,
Armenia,ARM,Asia,Western Asia,2004,2,12100000000,72.97376,,1160,
Aruba,ABW,Americas,Caribbean,2004,4,,74.09085,,,
Australia,AUS,Oceania,Australia and New Zealand,2004,5,630000000000,80.49024,,25490,
Austria,AUT,Europe,Western Europe,2004,5,275000000000,79.18049,,33600,
Azerbaijan,AZE,Asia,Western Asia,2004,2,46113109805,68.4702,,950,
"Bahamas, The",BHS,Americas,Caribbean,2004,4,6970000000,73.39466,,22800,
Bahrain,BHR,Asia,Western Asia,2004,4,31000000000,75.27322,,15000,
Bangladesh,BGD,Asia,Southern Asia,2004,1,224000000000,67.4972,,490,
Barbados,BRB,Americas,Caribbean,2004,3,3427071858,73.86802,,12650,
Belarus,BLR,Europe,Eastern Europe,2004,2,82681854927,68.9561,,2180,
Belgium,BEL,Europe,Western Europe,2004,5,336000000000,78.87805,,33000,
Belize,BLZ,Americas,Central America,2004,3,1880000000,68.88483,,3590,
Benin,BEN,Africa,Western Africa,2004,1,11800000000,56.63317,,520,
Bermuda,BMU,Americas,Northern America,2004,4,3050000000,78.48537,,,
Bhutan,BTN,Asia,Southern Asia,2004,1,2390000000,64.13617,,1070,
Bolivia,BOL,Americas,South America,2004,2,35400000000,62.96863,,970,
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2004,2,22100000000,74.95949,,2520,
Botswana,BWA,Africa,Southern Africa,2004,3,17700000000,52.35632,,3770,
Brazil,BRA,Americas,South America,2004,2,1920000000000,71.532,,3280,
British Virgin Islands,VGB,Americas,Caribbean,2004,,,,,,
Brunei Darussalam,BRN,Asia,South-eastern Asia,2004,4,26000000000,76.02412,,20200,
Bulgaria,BGR,Europe,Eastern Europe,2004,2,70800000000,72.56341,,3020,
Burkina Faso,BFA,Africa,Western Africa,2004,1,13500000000,52.76778,,340,
Burundi,BDI,Africa,Eastern Africa,2004,1,4600000000,52.39639,,120,
Cabo Verde,CPV,Africa,Western Africa,2004,2,1780000000,71.17639,,1850,
Cambodia,KHM,Asia,South-eastern Asia,2004,1,19900000000,62.07361,,400,
Cameroon,CMR,Africa,Middle Africa,2004,1,38700000000,51.71649,,800,
Canada,CAN,Americas,Northern America,2004,5,1080000000000,80.14146,,29200,
Cayman Islands,CYM,Americas,Caribbean,2004,4,,,,,
Central African Republic,CAF,Africa,Middle Africa,2004,1,2880000000,44.43968,,300,
Chad,TCD,Africa,Middle Africa,2004,1,13300000000,47.79583,,340,
Channel Islands,CHI,Europe,Western Europe,2004,4,,78.62532,,49500,
Chile,CHL,Americas,South America,2004,3,191000000000,78.28939,,5310,
China,CHN,Asia,Eastern Asia,2004,6,5770000000000,73.41995,,1510,
Colombia,COL,Americas,South America,2004,2,330000000000,72.02495,,2580,
Comoros,COM,Africa,Eastern Africa,2004,1,755000000,59.88876,,540,
"Congo, Dem. Rep.",COD,Africa,Middle Africa,2004,1,24400000000,52.87927,,190,
"Congo, Rep.",COG,Africa,Middle Africa,2004,1,14100000000,52.598,,790,
Costa Rica,CRI,Americas,Central America,2004,3,38895503400,77.96537,,4390,
Cote d'Ivoire,CIV,Africa,Western Africa,2004,1,41700000000,47.29654,,780,
Croatia,HRV,Europe,Southern Europe,2004,3,62600000000,75.52024,,8270,
Cuba,CUB,Americas,Caribbean,2004,2,124000000000,77.64468,,3490,
Curacao,CUW,Americas,Caribbean,2004,,,,,,
Cyprus,CYP,Asia,Western Asia,2004,4,19000000000,78.46576,,20900,
Czech Republic,CZE,Europe,Eastern Europe,2004,3,212000000000,75.72195,,10200,
Denmark,DNK,Europe,Northern Europe,2004,5,178000000000,77.49268,,42760,
Djibouti,DJI,Africa,Eastern Africa,2004,2,1480000000,57.66363,,980,
Dominica,DMA,Americas,Caribbean,2004,3,539278200,,,5080,
Dominican Republic,DOM,Americas,Caribbean,2004,2,64000000000,71.48354,,2480,
Ecuador,ECU,Americas,South America,2004,2,96900000000,73.94232,,2560,
"Egypt, Arab Rep.",EGY,Africa,Northern Africa,2004,2,507000000000,69.26578,,1230,
El Salvador,SLV,Americas,Central America,2004,2,34934419934,69.88273,,2660,
Equatorial Guinea,GNQ,Africa,Middle Africa,2004,3,17600000000,53.31578,,2040,
Eritrea,ERI,Africa,Eastern Africa,2004,1,5440000000,58.09283,,230,
Estonia,EST,Europe,Northern Europe,2004,3,19700000000,71.90976,,7480,
Ethiopia,ETH,Africa,Eastern Africa,2004,1,43400000000,55.18983,,130,
Faroe Islands,FRO,Europe,Northern Europe,2004,4,,79.14146,,,
Fiji,FJI,Oceania,Melanesia,2004,2,5230000000,68.31768,,3030,
Finland,FIN,Europe,Northern Europe,2004,5,163000000000,78.71463,,35200,
France,FRA,Europe,Western Europe,2004,5,1830000000000,80.16341,,31500,
French Polynesia,PYF,Oceania,Polynesia,2004,4,,73.87032,,,
Gabon,GAB,Africa,Middle Africa,2004,3,19800000000,59.17378,,4320,
"Gambia, The",GMB,Africa,Western Africa,2004,1,1940000000,57.4871,,420,
Georgia,GEO,Asia,Western Asia,2004,2,16200000000,72.75029,,1120,
Germany,DEU,Europe,Western Europe,2004,5,2590000000000,78.68049,,31700,
Ghana,GHA,Africa,Western Africa,2004,1,44600000000,58.22237,,390,
Gibraltar,GIB,Europe,Southern Europe,2004,,,,,,
Greece,GRC,Europe,Southern Europe,2004,5,279000000000,79.03902,,19600,
Greenland,GRL,Americas,Northern America,2004,4,,68.80683,,25800,
Grenada,GRD,Americas,Caribbean,2004,3,932000000,71.1428,,5440,
Guam,GUM,Oceania,Micronesia,2004,4,,76.44768,,,
Guatemala,GTM,Americas,Central America,2004,2,68600000000,69.3669,,1850,
Guinea,GIN,Africa,Western Africa,2004,1,9710000000,52.04107,,350,
Guinea-Bissau,GNB,Africa,Western Africa,2004,1,1530000000,52.12605,,350,
Guyana,GUY,Americas,South America,2004,2,3100000000,65.47366,,940,
Haiti,HTI,Americas,Caribbean,2004,1,12300000000,58.82093,,370,
Honduras,HND,Americas,Central America,2004,2,22174477022,71.29283,,1290,
Hong Kong,HKG,Asia,Eastern Asia,2004,4,224000000000,81.78049,,28100,
Hungary,HUN,Europe,Eastern Europe,2004,3,164000000000,72.64878,,8700,
Iceland,ISL,Europe,Northern Europe,2004,5,10300000000,80.99756,,41400,
India,IND,Asia,Southern Asia,2004,1,2900000000000,64.1478,,620,
Indonesia,IDN,Asia,South-eastern Asia,2004,2,1260000000000,66.97488,,1080,
Iran,IRN,Asia,Southern Asia,2004,2,848000000000,71.59363,,2480,
Iraq,IRQ,Asia,Western Asia,2004,2,243000000000,68.56012,,,
Ireland,IRL,Europe,Northern Europe,2004,5,158000000000,78.53902,,37800,
Isle of Man,IMN,Europe,Northern Europe,2004,,,,,33300,
Israel,ISR,Asia,Western Asia,2004,4,172000000000,80.14634,,19900,
Italy,ITA,Europe,Southern Europe,2004,5,1700000000000,80.78049,,28200,
Jamaica,JAM,Americas,Caribbean,2004,2,19738071700,73.15561,,3770,
Japan,JPN,Asia,Eastern Asia,2004,5,3880000000000,82.03024,,38400,
Jordan,JOR,Asia,Western Asia,2004,2,40101333309,72.47376,,2330,
Kazakhstan,KAZ,Asia,Central Asia,2004,2,191000000000,65.8878,,2300,
Kenya,KEN,Africa,Eastern Africa,2004,1,65300000000,52.55224,,470,
Kiribati,KIR,Oceania,Micronesia,2004,2,149961527,64.66529,,1530,
North Korea,PRK,Asia,Eastern Asia,2004,1,,67.85983,,,
South Korea,KOR,Asia,Eastern Asia,2004,5,1100000000000,77.84659,,15700,
Kosovo,XKX,Europe,Southern Europe,2004,0,9320000000,68.44634,,,
Kuwait,KWT,Asia,Western Asia,2004,4,167000000000,73.583,,28600,
Kyrgyz Republic,KGZ,Asia,Central Asia,2004,1,10600000000,68.15366,,400,
Lao PDR,LAO,Asia,South-eastern Asia,2004,1,13600000000,61.16944,,390,
Latvia,LVA,Europe,Northern Europe,2004,3,27700000000,72.02683,,5810,
Lebanon,LBN,Asia,Western Asia,2004,3,41100000000,76.38012,,5550,
Lesotho,LSO,Africa,Southern Africa,2004,1,3220000000,43.53346,,850,
Liberia,LBR,Africa,Western Africa,2004,1,1600000000,54.09624,,90,
Libya,LBY,Africa,Northern Africa,2004,3,116000000000,71.2768,,5150,
Liechtenstein,LIE,Europe,Western Europe,2004,4,,81.77073,,78400,
Lithuania,LTU,Europe,Northern Europe,2004,3,44000000000,71.96098,,6040,
Luxembourg,LUX,Europe,Western Europe,2004,5,29100000000,79.12195,,55900,
Macao,MAC,Asia,Eastern Asia,2004,4,24700000000,78.44812,,22900,
"Macedonia, FYR",MKD,Europe,Southern Europe,2004,2,14600000000,73.96076,,2590,
Madagascar,MDG,Africa,Eastern Africa,2004,1,21000000000,60.72871,,290,
Malawi,MWI,Africa,Eastern Africa,2004,1,9150000000,46.95734,,300,
Malaysia,MYS,Asia,South-eastern Asia,2004,3,390000000000,73.48122,,4710,
Maldives,MDV,Asia,Southern Asia,2004,2,2400000000,73.61759,,3920,
Mali,MLI,Africa,Western Africa,2004,1,18200000000,51.70107,,400,
Malta,MLT,Europe,Southern Europe,2004,4,8590000000,79.25366,,14300,
Marshall Islands,MHL,Oceania,Micronesia,2004,2,140000000,,,3320,
Mauritania,MRT,Africa,Western Africa,2004,1,7400000000,60.4751,,590,
Mauritius,MUS,Africa,Eastern Africa,2004,3,13000000000,72.27675,,5040,
Mexico,MEX,Americas,Central America,2004,3,1210000000000,75.11549,,7390,
"Micronesia, Fed. Sts.",FSM,Oceania,Micronesia,2004,2,296000000,67.77602,,2440,
Moldova,MDA,Europe,Eastern Europe,2004,1,9540000000,67.52451,,730,
Monaco,MCO,Europe,Western Europe,2004,4,,,,113000,
Mongolia,MNG,Asia,Eastern Asia,2004,1,12300000000,64.73495,,760,
Montenegro,MNE,Europe,Southern Europe,2004,0,4810000000,73.43378,,3100,
Morocco,MAR,Africa,Northern Africa,2004,2,139000000000,70.03883,,1840,
Mozambique,MOZ,Africa,Eastern Africa,2004,1,12300000000,50.20963,,310,
Myanmar,MMR,Asia,South-eastern Asia,2004,1,83800000000,63.28322,,220,
Namibia,NAM,Africa,Southern Africa,2004,2,12400000000,54.92346,,2760,
Nauru,NRU,Oceania,Micronesia,2004,,,,,,
Nepal,NPL,Asia,Southern Asia,2004,1,36000000000,64.92259,,290,
Netherlands,NLD,Europe,Western Europe,2004,5,577000000000,79.09512,,37300,
New Caledonia,NCL,Oceania,Melanesia,2004,4,,75.51463,,,
New Zealand,NZL,Oceania,Australia and New Zealand,2004,5,103000000000,79.54878,,21500,
Nicaragua,NIC,Americas,Central America,2004,1,16900000000,71.4429,,1100,
Niger,NER,Africa,Western Africa,2004,1,8580000000,53.28244,,220,
Nigeria,NGA,Africa,Western Africa,2004,1,481000000000,48.12566,,610,
Northern Mariana Islands,MNP,Oceania,Micronesia,2004,3,,,,,
Norway,NOR,Europe,Northern Europe,2004,5,195000000000,79.84146,,54100,
Oman,OMN,Asia,Western Asia,2004,3,87600000000,74.023,,9370,
Pakistan,PAK,Asia,Southern Asia,2004,1,495000000000,63.66746,,640,
Palau,PLW,Oceania,Micronesia,2004,3,251000000,,,8680,
Panama,PAN,Americas,Central America,2004,3,31800000000,75.80376,,4520,
Papua New Guinea,PNG,Oceania,Melanesia,2004,1,9010000000,60.265,,570,
Paraguay,PRY,Americas,South America,2004,2,30000000000,71.07117,,1130,
Peru,PER,Americas,South America,2004,2,170000000000,72.1362,,2300,
Philippines,PHL,Asia,South-eastern Asia,2004,2,339000000000,67.1542,,1400,
Poland,POL,Europe,Eastern Europe,2004,3,510000000000,74.84634,,6220,
Portugal,PRT,Europe,Southern Europe,2004,5,225000000000,77.67073,,16100,
Puerto Rico,PRI,Americas,Caribbean,2004,4,123000000000,78.17585,,13800,
Qatar,QAT,Asia,Western Asia,2004,4,76200000000,76.91607,,37200,
Romania,ROU,Europe,Eastern Europe,2004,2,196000000000,71.59428,,3010,
Russian Federation,RUS,Europe,Eastern Europe,2004,3,1470000000000,65.42122,,3410,
Rwanda,RWA,Africa,Eastern Africa,2004,1,7400000000,53.19763,,230,
Samoa,WSM,Oceania,Polynesia,2004,2,795000000,70.71461,,2100,
San Marino,SMR,Europe,Southern Europe,2004,4,,81.72195,,37000,
Sao Tome and Principe,STP,Africa,Middle Africa,2004,1,279000000,64.26129,,670,
Saudi Arabia,SAU,Asia,Western Asia,2004,4,772000000000,73.09346,,10500,
Senegal,SEN,Africa,Western Africa,2004,1,19300000000,59.71851,,670,
Serbia,SRB,Europe,Southern Europe,2004,0,60200000000,72.68293,,3070,
Seychelles,SYC,Africa,Eastern Africa,2004,3,1170000000,72.60976,,9280,
Sierra Leone,SLE,Africa,Western Africa,2004,1,4900000000,42.6392,,310,
Singapore,SGP,Asia,South-eastern Asia,2004,4,212000000000,79.49024,,25650,
Sint Maarten (Dutch part),SXM,Americas,Caribbean,2004,,,,,,
Slovak Republic,SVK,Europe,Eastern Europe,2004,3,81700000000,73.95854,,9000,
Slovenia,SVN,Europe,Southern Europe,2004,4,45500000000,77.20732,,15700,
Solomon Islands,SLB,Oceania,Melanesia,2004,1,615000000,65.11288,,860,
Somalia,SOM,Africa,Eastern Africa,2004,1,,52.0529,,,
South Africa,ZAF,Africa,Southern Africa,2004,3,431000000000,51.87376,,3780,
South Sudan,SSD,Africa,Eastern Africa,2004,0,,50.76241,,,
Spain,ESP,Europe,Southern Europe,2004,5,1120000000000,79.87073,,22100,
Sri Lanka,LKA,Asia,Southern Asia,2004,2,103000000000,73.68029,,1070,
St. Kitts and Nevis,KNA,Americas,Caribbean,2004,3,816000000,,,9930,
St. Lucia,LCA,Americas,Caribbean,2004,3,1480000000,72.61956,,5210,
St. Martin (French part),MAF,Americas,Caribbean,2004,0,,77.72195,,,
St. Vincent and the Grenadines,VCT,Americas,Caribbean,2004,3,852911767,71.02129,,4730,
Sudan,SDN,Africa,Northern Africa,2004,1,85000000000,59.43815,,470,
Suriname,SUR,Americas,South America,2004,2,5040000000,68.56598,,2620,
Swaziland,SWZ,Africa,Southern Africa,2004,2,6230000000,45.74534,,2000,
Sweden,SWE,Europe,Northern Europe,2004,5,302000000000,80.49756,,39400,
Switzerland,CHE,Europe,Western Europe,2004,5,289000000000,81.0878,,53810,
Syrian Arab Republic,SYR,Asia,Western Asia,2004,2,,74.09568,,1390,
Tajikistan,TJK,Asia,Central Asia,2004,1,9460000000,65.53702,,270,
Tanzania,TZA,Africa,Eastern Africa,2004,1,55600000000,54.41624,,360,
Thailand,THA,Asia,South-eastern Asia,2004,2,624000000000,71.78646,,2520,
Timor-Leste,TLS,Asia,South-eastern Asia,2004,1,1120000000,63.19298,,740,
Togo,TGO,Africa,Western Africa,2004,1,5720000000,54.16322,,330,
Tonga,TON,Oceania,Polynesia,2004,2,424000000,71.31444,,2160,
Trinidad and Tobago,TTO,Americas,Caribbean,2004,3,27800000000,68.87183,,9690,
Tunisia,TUN,Africa,Northern Africa,2004,2,74100000000,73.30244,,2930,
Turkey,TUR,Asia,Western Asia,2004,3,706000000000,72.02988,,5060,
Turkmenistan,TKM,Asia,Central Asia,2004,2,23600000000,64.33744,,1310,
Turks and Caicos Islands,TCA,Americas,Caribbean,2004,,,,,,
Tuvalu,TUV,Oceania,Polynesia,2004,,26000000,,,3310,
Uganda,UGA,Africa,Eastern Africa,2004,1,28700000000,50.70124,,270,
Ukraine,UKR,Europe,Eastern Europe,2004,2,287000000000,68.18537,,1270,
United Arab Emirates,ARE,Asia,Western Asia,2004,4,349000000000,75.45727,,37000,
United Kingdom,GBR,Europe,Northern Europe,2004,5,1900000000000,78.74634,,37700,
United States,USA,Americas,Northern America,2004,5,12300000000000,77.4878,,43680,
Uruguay,URY,Americas,South America,2004,3,34600000000,75.46441,,4130,
Uzbekistan,UZB,Asia,Central Asia,2004,1,64700000000,67.26502,,460,
Vanuatu,VUT,Oceania,Melanesia,2004,2,448000000,68.99,,1590,
"Venezuela, RB",VEN,Americas,South America,2004,3,313000000000,73.08644,,4050,
Vietnam,VNM,Asia,South-eastern Asia,2004,1,230000000000,73.95902,,590,
Virgin Islands (U.S.),VIR,Americas,Caribbean,2004,4,,78.72439,,,
West Bank and Gaza,PSE,Asia,Western Asia,2004,0,11628118997,71.33946,,1480,
"Yemen, Rep.",YEM,Asia,Western Asia,2004,1,69900000000,61.29266,,600,
Zambia,ZMB,Africa,Eastern Africa,2004,1,24068937291,47.93239,,460,
Zimbabwe,ZWE,Africa,Eastern Africa,2004,1,19644640257,41.05934,,420,
Taiwan,TWN,Asia,Eastern Asia,2004,4,605000000000,77.06,,15879,
Afghanistan,AFG,Asia,Southern Asia,2005,1,25400000000,57.02724,,250,
Albania,ALB,Europe,Southern Europe,2005,2,17900000000,76.08161,,2670,
Algeria,DZA,Africa,Northern Africa,2005,2,365000000000,72.19656,,2710,
American Samoa,ASM,Oceania,Polynesia,2005,3,,,,,
Andorra,AND,Europe,Southern Europe,2005,,,,,40000,
Angola,AGO,Africa,Middle Africa,2005,2,68800000000,48.5388,,1170,
Antigua and Barbuda,ATG,Americas,Caribbean,2005,4,1570000000,74.42544,,11900,
Argentina,ARG,Americas,South America,2005,3,542000000000,74.6878,,4600,
Armenia,ARM,Asia,Western Asia,2005,2,14219082019,73.28739,,1520,
Aruba,ABW,Americas,Caribbean,2005,4,,74.22807,,,
Australia,AUS,Oceania,Australia and New Zealand,2005,5,664000000000,80.84146,,30300,
Austria,AUT,Europe,Western Europe,2005,5,287000000000,79.33171,,38500,
Azerbaijan,AZE,Asia,Western Asia,2005,2,60162435045,68.93727,,1270,
"Bahamas, The",BHS,Americas,Caribbean,2005,4,7440000000,73.63888,,23500,
Bahrain,BHR,Asia,Western Asia,2005,4,34200000000,75.42215,,17000,
Bangladesh,BGD,Asia,Southern Asia,2005,1,246000000000,67.97185,,540,
Barbados,BRB,Americas,Caribbean,2005,3,3680000000,74.03034,,13600,
Belarus,BLR,Europe,Eastern Europe,2005,2,93400000000,68.85122,,2820,
Belgium,BEL,Europe,Western Europe,2005,5,349000000000,78.98049,,37850,
Belize,BLZ,Americas,Central America,2005,3,1990000000,69.08637,,3680,
Benin,BEN,Africa,Western Africa,2005,1,12300000000,57.06598,,590,
Bermuda,BMU,Americas,Northern America,2005,4,3200000000,78.68537,,,
Bhutan,BTN,Asia,Southern Asia,2005,1,2640000000,64.91844,,1220,
Bolivia,BOL,Americas,South America,2005,2,38147735826,63.53978,,1030,
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2005,2,24400000000,75.09354,,3070,
Botswana,BWA,Africa,Southern Africa,2005,3,19100000000,54.55222,,4760,
Brazil,BRA,Americas,South America,2005,2,2050000000000,71.83963,,3910,
British Virgin Islands,VGB,Americas,Caribbean,2005,,,,,,
Brunei Darussalam,BRN,Asia,South-eastern Asia,2005,4,27000000000,76.21346,,23300,
Bulgaria,BGR,Europe,Eastern Europe,2005,2,78700000000,72.56098,,3760,
Burkina Faso,BFA,Africa,Western Africa,2005,1,15100000000,53.58132,,410,
Burundi,BDI,Africa,Eastern Africa,2005,1,4790000000,52.69695,,130,
Cabo Verde,CPV,Africa,Western Africa,2005,2,1962096115,71.52354,,2110,
Cambodia,KHM,Asia,South-eastern Asia,2005,1,23300000000,62.96771,,460,
Cameroon,CMR,Africa,Middle Africa,2005,2,40900000000,51.88905,,900,
Canada,CAN,Americas,Northern America,2005,5,1170000000000,80.29268,,34000,
Cayman Islands,CYM,Americas,Caribbean,2005,4,,,,,
Central African Republic,CAF,Africa,Middle Africa,2005,1,3000000000,44.7381,,340,
Chad,TCD,Africa,Middle Africa,2005,1,16100000000,47.9739,,470,
Channel Islands,CHI,Europe,Western Europe,2005,4,,78.90322,,55320,
Chile,CHL,Americas,South America,2005,3,209000000000,78.63829,,6340,
China,CHN,Asia,Eastern Asia,2005,6,6640000000000,73.76695,,1760,
Colombia,COL,Americas,South America,2005,2,357000000000,72.26393,,2920,
Comoros,COM,Africa,Eastern Africa,2005,1,801000000,60.10978,,620,
"Congo, Dem. Rep.",COD,Africa,Middle Africa,2005,1,26700000000,53.63829,,200,
"Congo, Rep.",COG,Africa,Middle Africa,2005,2,15700000000,53.56154,,980,
Costa Rica,CRI,Americas,Central America,2005,3,41700000000,78.08666,,4650,
Cote d'Ivoire,CIV,Africa,Western Africa,2005,1,43800000000,47.75185,,940,
Croatia,HRV,Europe,Southern Europe,2005,3,66000000000,75.24463,,9870,
Cuba,CUB,Americas,Caribbean,2005,2,143000000000,77.93215,,3960,
Curacao,CUW,Americas,Caribbean,2005,,,,,,
Cyprus,CYP,Asia,Western Asia,2005,4,20804238177,78.58961,,24450,
Czech Republic,CZE,Europe,Eastern Europe,2005,3,224000000000,75.92439,,12400,
Denmark,DNK,Europe,Northern Europe,2005,5,185000000000,77.8439,,49600,
Djibouti,DJI,Africa,Eastern Africa,2005,2,1580000000,57.98429,,1030,
Dominica,DMA,Americas,Caribbean,2005,3,556139038,,,5140,
Dominican Republic,DOM,Americas,Caribbean,2005,2,72200000000,71.70039,,2910,
Ecuador,ECU,Americas,South America,2005,2,105000000000,74.13798,,2900,
"Egypt, Arab Rep.",EGY,Africa,Northern Africa,2005,2,547000000000,69.42968,,1240,
El Salvador,SLV,Americas,Central America,2005,2,37300000000,70.17893,,2870,
Equatorial Guinea,GNQ,Africa,Middle Africa,2005,3,21200000000,53.67459,,4660,
Eritrea,ERI,Africa,Eastern Africa,2005,1,5756383486,58.59241,,260,
Estonia,EST,Europe,Northern Europe,2005,3,22400000000,72.56829,,9710,
Ethiopia,ETH,Africa,Eastern Africa,2005,1,50000000000,56.23656,,160,
Faroe Islands,FRO,Europe,Northern Europe,2005,4,,79.29024,,,
Fiji,FJI,Oceania,Melanesia,2005,2,5430000000,68.49178,,3590,
Finland,FIN,Europe,Northern Europe,2005,5,168000000000,78.81707,,40100,
France,FRA,Europe,Western Europe,2005,5,1930000000000,80.16341,,36000,
French Polynesia,PYF,Oceania,Polynesia,2005,4,,74.22668,,,
Gabon,GAB,Africa,Middle Africa,2005,3,21200000000,59.46805,,5580,
"Gambia, The",GMB,Africa,Western Africa,2005,1,1990000000,57.8921,,400,
Georgia,GEO,Asia,Western Asia,2005,2,18300000000,72.99024,,1410,
Germany,DEU,Europe,Western Europe,2005,5,2640000000000,78.93171,,35900,
Ghana,GHA,Africa,Western Africa,2005,1,48700000000,58.70105,,470,
Gibraltar,GIB,Europe,Southern Europe,2005,,,,,,
Greece,GRC,Europe,Southern Europe,2005,5,281000000000,79.23902,,22800,
Greenland,GRL,Americas,Northern America,2005,4,,69.22073,,30000,
Grenada,GRD,Americas,Caribbean,2005,3,1090000000,71.3721,,6760,
Guam,GUM,Oceania,Micronesia,2005,4,,76.74754,,,
Guatemala,GTM,Americas,Central America,2005,2,73100000000,69.64598,,1990,
Guinea,GIN,Africa,Western Africa,2005,1,10300000000,52.58661,,340,
Guinea-Bissau,GNB,Africa,Western Africa,2005,1,1640000000,52.33929,,390,
Guyana,GUY,Americas,South America,2005,2,3135415508,65.58251,,1060,
Haiti,HTI,Americas,Caribbean,2005,1,12900000000,59.17846,,400,
Honduras,HND,Americas,Central America,2005,2,24300000000,71.48217,,1390,
Hong Kong,HKG,Asia,Eastern Asia,2005,4,248000000000,81.58049,,28900,
