Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Gabon,GAB,Africa,Middle Africa,2010,3,24700000000,62.12083,,8250,
"Gambia, The",GMB,Africa,Western Africa,2010,1,2750000000,59.34061,,590,
Georgia,GEO,Asia,Western Asia,2010,2,25900000000,74.00244,,3000,
Germany,DEU,Europe,Western Europe,2010,5,3210000000000,79.9878,,44790,
Ghana,GHA,Africa,Western Africa,2010,2,73500000000,60.60998,,1260,
Gibraltar,GIB,Europe,Southern Europe,2010,4,,,,,
Greece,GRC,Europe,Southern Europe,2010,5,314000000000,80.3878,,27700,
Greenland,GRL,Americas,Northern America,2010,4,,70.85707,,,
Grenada,GRD,Americas,Caribbean,2010,3,1150000000,72.56751,,7050,
Guam,GUM,Oceania,Micronesia,2010,4,,78.10088,,,
Guatemala,GTM,Americas,Central America,2010,2,96200000000,70.77546,,2680,
Guinea,GIN,Africa,Western Africa,2010,1,12600000000,56.30505,,390,
Guinea-Bissau,GNB,Africa,Western Africa,2010,1,2120000000,53.81437,,540,
Guyana,GUY,Americas,South America,2010,2,4270000000,66.04271,,2900,
Haiti,HTI,Americas,Caribbean,2010,1,14700000000,61.24012,,650,
Honduras,HND,Americas,Central America,2010,2,31900000000,72.39398,,1910,
Hong Kong,HKG,Asia,Eastern Asia,2010,4,331000000000,82.97805,,33620,
Hungary,HUN,Europe,Eastern Europe,2010,5,215000000000,74.20732,,13100,
Iceland,ISL,Europe,Northern Europe,2010,5,12200000000,81.89756,,36700,
India,IND,Asia,Southern Asia,2010,2,5310000000000,66.50615,,1220,
Indonesia,IDN,Asia,South-eastern Asia,2010,2,2000000000000,68.1472,,2530,
Iran,IRN,Asia,Southern Asia,2010,3,1270000000000,73.98317,,6020,
Iraq,IRQ,Asia,Western Asia,2010,2,383000000000,68.49012,,4410,
Ireland,IRL,Europe,Northern Europe,2010,5,197000000000,80.7439,,45200,
Isle of Man,IMN,Europe,Northern Europe,2010,,,,,72000,
Israel,ISR,Asia,Western Asia,2010,5,220000000000,81.60244,,29600,
Italy,ITA,Europe,Southern Europe,2010,5,2080000000000,82.03659,,37700,
Jamaica,JAM,Americas,Caribbean,2010,3,22100000000,74.84749,,4570,
Japan,JPN,Asia,Eastern Asia,2010,5,4480000000000,82.84268,,43400,
Jordan,JOR,Asia,Western Asia,2010,3,66700000000,73.43583,,3820,
Kazakhstan,KAZ,Asia,Central Asia,2010,3,321000000000,68.29537,,7440,
Kenya,KEN,Africa,Eastern Africa,2010,1,100000000000,58.71861,,1000,
Kiribati,KIR,Oceania,Micronesia,2010,2,174000000,65.30278,,1990,
North Korea,PRK,Asia,Eastern Asia,2010,1,,68.90002,,,
South Korea,KOR,Asia,Eastern Asia,2010,5,1510000000000,80.55122,,21300,
Kosovo,XKX,Europe,Southern Europe,2010,0,13800000000,69.9,,3420,
Kuwait,KWT,Asia,Western Asia,2010,4,221000000000,74.11663,,41200,
Kyrgyz Republic,KGZ,Asia,Central Asia,2010,1,14900000000,69.3,,850,
Lao PDR,LAO,Asia,South-eastern Asia,2010,2,24400000000,64.33363,,1000,
Latvia,LVA,Europe,Northern Europe,2010,3,36900000000,73.48293,,12600,
Lebanon,LBN,Asia,Western Asia,2010,3,69200000000,78.46537,,8450,
Lesotho,LSO,Africa,Southern Africa,2010,2,4740000000,47.48341,,1250,
Liberia,LBR,Africa,Western Africa,2010,1,2710000000,59.44129,,250,
Libya,LBY,Africa,Northern Africa,2010,3,179000000000,71.73739,,12300,
Liechtenstein,LIE,Europe,Western Europe,2010,4,,81.84146,,,
Lithuania,LTU,Europe,Northern Europe,2010,3,62300000000,73.26829,,12400,
Luxembourg,LUX,Europe,Western Europe,2010,5,42779941251,80.63171,,79520,
Macao,MAC,Asia,Eastern Asia,2010,4,51700000000,79.69039,,45900,
"Macedonia, FYR",MKD,Europe,Southern Europe,2010,3,23400000000,74.72263,,4720,
Madagascar,MDG,Africa,Eastern Africa,2010,1,28700000000,63.36173,,420,
Malawi,MWI,Africa,Eastern Africa,2010,1,15400000000,56.83624,,440,
Malaysia,MYS,Asia,South-eastern Asia,2010,3,581000000000,74.15778,,8230,
Maldives,MDV,Asia,Southern Asia,2010,3,3780726011,76.20049,,5380,
Mali,MLI,Africa,Western Africa,2010,1,27600000000,56.1798,,690,
Malta,MLT,Europe,Southern Europe,2010,4,11500000000,81.39756,,20500,
Marshall Islands,MHL,Oceania,Micronesia,2010,2,177000000,,,3790,
