Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Senegal,2003,40.8,59.13,1,4,7.33,61.3,2.1,65.4,64.5,8.7,5.34,1640,22.28,10.16,6.75,6200,147,53.66,32,36.23,19.2,16,58.37,47.32,50.24,47.06,54.33,,68,,125.92,41.7,,122.4,,,64.61,,43.83
South Africa,2003,58.4,52.52,6,7,35.97,54.1,7.01,51.4,47.5,27.1,2.76,8420,17.11,19.47,0.38,590000,820,67.32,44,34.3,29.8,18.98,65.92,73.66,53.59,74.02,69.23,23.04,88,,4627.64,59.2,,9.4,148.78,,90.89,42.2,29.01
Sri Lanka,2003,18.4,73.22,3,2,7.14,13,1.46,75.3,35.4,8.2,2.27,4920,22.02,15.99,3.59,200,66,48.78,34,21.74,4.4,,,49.76,60.29,56.37,44.23,12.71,59,,328.67,84.3,,59.3,14.36,,99.62,6.8,7.35
Tunisia,2003,64.6,73.05,3,4,19.47,22,6.49,82.4,24,14.5,2.06,6570,23.32,19.9,1.14,200,25,66.34,49,56.04,11.5,17.63,61.39,71.22,49.76,53.92,22.12,18.75,28,27.5,1004.19,84.2,7.76,11.9,,11.98,99.7,,3.97
Venezuela,2003,88.5,72.94,6,3,27.19,16.9,7.5,50.6,53.7,16.8,2.7,9680,15.22,32.35,0.1,6800,33,12.2,24,12.56,9.7,18.08,43.86,16.59,8.61,16.67,35.1,11.53,58,39.74,2633.2,89.8,,43.9,,,91.81,43.9,20.03
Vietnam,2003,26.1,73.77,3,2,3.29,23.9,3.78,115.1,72.8,2.3,1.9,2550,32.82,22.65,4.21,28000,185,37.07,24,47.83,27.3,18.82,42.45,39.51,38.76,29.41,6.73,19.19,13,10.12,443.07,58,,31.9,,,,1.3,32.95
Albania,2004,45.7,75.83,6,1,39.16,19.1,2.42,66.4,49.1,12.6,1.8,5660,37.2,14.81,4.01,29,21,27.32,26,29.47,6.4,9.46,52.49,40.49,26.32,49.02,50,17.65,68,20.06,1797.53,86.6,4.22,32.3,,9.67,91.11,,1.67
Bangladesh,2004,26.1,67.5,3,2,1.97,53.4,0.2,26.9,55.2,4.5,2.78,1660,24.99,20.43,2.08,1000,225,2.93,20,10.14,2,15.23,55.67,20.98,17.22,13.24,26.92,7.05,54,5.69,160.78,49.7,0.13,62.9,,6.94,,2.8,26.34
Bolivia,2004,63.7,62.97,3,3,19.6,48.8,4.44,57.5,60.8,4.3,3.68,3770,11.02,15.83,9.36,1100,163,22.93,27,23.67,19.2,14.43,53.65,33.17,30.14,48.53,41.83,15.02,70,39.09,452.18,41.3,,174.1,22.66,4.48,,,13.66
Brazil,2004,82.5,71.53,6,7,35.65,21,19.07,29.7,57.6,8.9,2.14,9930,17.91,21.33,0.02,42000,54,57.07,33,36.23,8.6,17.79,64.69,60.49,40.19,56.37,60.1,15.75,74,24.49,1933.98,77.1,103.98,11.7,49.36,,95.59,,11.04
Burundi,2004,9.1,52.4,1,4,1.34,82.9,0.35,31.6,83.6,7.3,6.8,580,10.35,-7.32,41,6400,211,15.61,24,0.97,18.4,12.42,36.85,6.34,4.31,10.78,9.62,,29,2.28,,45.3,0.05,181.4,,1.45,53.52,,79.26
Central African Republic,2004,38,44.44,1,4,1.54,110.4,0.22,33.2,71.4,7,5.18,710,6.81,1.56,8.74,9500,762,5.37,24,8.7,,6.11,30.19,4.39,3.83,11.27,11.54,6.21,30,1.7,,18.5,0,210.2,,0.3,,,65.07
China,2004,41.1,73.42,6,7,25.55,22.2,7.3,60.2,67.3,4.3,1.5,4440,42.89,46.23,0.09,,95,34.63,33,32.37,20.2,31.98,41.18,59.02,38.76,44.61,7.69,,13,17.91,1586.87,63.7,,15.9,22.90,,,1.9,23.15
Colombia,2004,73.3,72.02,6,3,24.46,18.9,9.12,35.9,53.6,14.3,2.24,7460,19.44,17.12,0.46,9000,33,54.63,39,2.42,12,15.7,59,52.68,29.19,54.41,38.46,,57,26.61,898.34,76.6,,25.6,,,97.19,44.6,11.79
Congo,2004,37,52.88,1,4,3.79,98.7,0.2,49.3,71.1,8.2,6.87,440,12.26,8.38,19.21,45000,327,3.41,20,1.45,12,18.41,41.92,5.85,2.87,4.9,3.85,5.28,21,,86.16,24.4,,1229.1,,0.46,,,94.05
Ecuador,2004,61.5,73.94,6,3,26.2,25,4.83,50.7,57.5,6.7,2.83,6810,20.2,18.64,0.44,2100,74,27.8,23,21.26,16,13.51,57.84,19.02,27.75,23.04,39.42,,67,,829.11,74.2,3.05,47.4,,12.79,,17.7,15.2
Georgia,2004,52.4,72.75,6,1,18.62,23.6,3.89,79.7,55.8,12.6,1.64,3870,31.91,15.28,6.02,1000,192,28.78,28,19.81,9.4,13.36,55.66,36.59,31.1,35.78,44.71,9.93,53,42.15,1678.68,93.1,1.98,13.7,4.02,9.38,90.65,6.6,16.81
Ghana,2004,46.6,58.22,3,4,8.14,58.1,1.72,99.7,68.7,6.9,4.46,2090,28.38,7.31,16.34,24000,206,49.76,33,45.89,10.9,9.57,31.39,51.71,48.8,41.18,55.29,21.75,77,,221.4,11.6,,62,5.40,3.06,59.61,2.2,26.43
Haiti,2004,42.4,58.82,1,5,4.38,67.2,5.4,58.1,58.1,8,3.85,1340,27.34,-1.96,8.47,14000,276,1.95,18,3.86,3.6,,,0.98,0.96,7.84,9.13,,21,,28.07,23.2,,358.5,,3.15,,,55.14
Honduras,2004,47.9,71.29,3,5,10.46,26,5.6,135.5,39.1,6,3.43,3110,29.67,11.05,7.91,1000,81,21.46,25,30.92,5.5,21.03,57.5,32.2,27.27,42.65,37.5,14.5,66,17.06,581.19,69.1,4.66,66.8,,16.24,95.07,53.9,26.32
India,2004,28.9,64.15,3,7,4.7,57.8,1.98,36.9,36.3,3.9,3.04,2560,32.45,30.7,0.11,170000,282,43.41,33,13.53,8.3,15.25,53.05,55.12,54.07,39.22,61.06,9.41,74,10.98,452.9,29.6,,49.5,53.75,8.96,,3.7,38.21
Indonesia,2004,45.1,66.97,3,2,13.71,36,2.6,59.8,49.8,9.9,2.48,5400,24.06,28.73,0.05,54000,441,17.07,24,4.35,11.3,28.07,41.04,44.39,25.36,25,40.38,12.33,59,16.62,474.41,51.2,8.56,130.7,28.52,5.17,89.65,0.6,24.37
Jordan,2004,80.9,72.47,6,2,31.89,20.9,11.66,134.7,11,12.4,3.75,7940,27.39,-2.86,5.16,,7.8,66.83,53,37.2,5.5,18.26,68.59,63.41,61.72,64.71,32.69,21,37,38.79,1674.52,98.1,,102.1,,19.47,98.55,,
Kazakhstan,2004,54.9,65.89,6,2,16.42,30.3,2.65,96.4,64.1,8.4,2.21,11860,26.31,34.9,0.66,1100,199,11.22,26,47.83,10.4,14.17,54.8,27.8,15.79,33.33,17.79,13.91,28,,3859.19,97,9.99,12.1,9.13,3.73,98.73,13.7,3.04
Kenya,2004,21.3,52.55,3,4,7.31,57.2,3.02,59.5,60.7,9.6,4.95,1880,16.96,10.71,4.14,70000,358,22.44,22,16.43,7.1,11.25,53.73,34.15,19.62,45.59,43.75,16.97,65,2.92,130.24,27.8,2.49,53.7,24.17,2.98,74.31,4.1,32.07
Lebanon,2004,86.5,76.38,6,2,22.95,13.1,9,94.5,19.9,7.9,1.84,10220,22.72,0.64,1.32,200,12,29.76,36,22.71,2.3,7.96,79.4,47.32,45.45,50.98,35.58,16.67,30,43.49,2847.85,82.2,31.86,129.5,10.53,30.81,95.89,,
Mali,2004,31.3,51.7,1,4,3.52,100.6,0.43,55.3,35.9,8.8,6.82,1410,21.63,13.67,11.17,9000,71,37.56,28,62.8,10.2,,40.98,30.73,47.85,35.29,57.21,13.69,75,,,19.7,,187.4,,2.42,51.13,,53.03
Mexico,2004,76,75.12,6,5,35.15,17.4,14.1,54.2,40.8,3.7,2.56,11050,22.66,20.9,0.01,9500,22,47.8,33,37.68,22.6,18.24,61.05,63.9,40.67,65.69,58.17,,77,22.56,1817.73,77.8,28.06,28.5,22.25,10.76,97.38,8.6,4.82
Mongolia,2004,61.4,64.73,3,2,17.17,37.3,,131.3,55.5,7.1,2.12,4890,31.18,21.43,13.02,100,428,44.88,28,72.95,6.8,6.24,45.41,39.02,51.2,40.69,56.73,,83,40.79,1196.02,51.9,,12.5,1.24,40,92.84,13.3,6.87
Pakistan,2004,34.4,63.67,3,2,3.24,81.4,6.16,30.3,17.9,7.4,4.13,3370,16.58,17.61,1.44,3300,276,12.68,22,6.76,21.3,17.19,50.83,39.51,20.57,18.14,14.9,10.28,35,3.42,430.57,44.1,0.75,31.4,46.54,7.69,66.64,6.5,18.04
Panama,2004,63.4,75.8,6,5,38.14,19.9,11.14,123.7,47,11.7,2.58,9210,28.27,20.15,0.16,1000,65,48.29,31,48.79,16.7,8.92,73.48,57.07,50.24,64.22,63.94,,80,43.32,1427.95,69,,14.6,27.99,,98.6,9.4,10.76
Papua New Guinea,2004,13.1,60.27,3,6,0.81,56.2,1.51,131.1,71.3,2.8,4.32,1370,20,33.25,7.54,3200,432,13.66,24,25.12,0.9,7.05,23.33,28.29,18.18,22.06,36.54,,71,,,19.1,4.01,28.2,97.40,1.94,,5.2,28.71
Peru,2004,74.6,72.14,6,3,14.93,22.6,14.1,41.9,58,5.2,2.73,5890,16.86,20.74,0.74,4300,153,46.83,33,18.84,18.3,18,56.49,38.54,36.36,62.75,45.67,13.66,73,33.25,802.84,66.7,10.7,36.4,27.07,4.26,99.12,5.6,12.22
Philippines,2004,46.9,67.15,3,2,39.1,27.9,5.24,102.6,50.2,11.9,3.57,4940,21.61,16.11,0.4,1000,343,30.24,25,5.31,15.3,23.95,52.94,48.78,34.45,46.08,50.48,11.82,73,28.35,576.03,66.4,10.33,24.1,31.30,8.22,89.77,7.5,16.71
Russia,2004,73.4,65.42,6,7,51.08,15.4,12.86,56.6,55.7,7.8,1.33,10010,20.9,33.16,,,138,25.37,25,7.73,9.8,17.44,58.05,43.9,19.14,50,30.29,13.23,41,70.62,5633.86,72.4,16.23,8.3,,26.69,,,0.89
Rwanda,2004,18.4,53.2,1,4,1.48,77.7,0.43,35.9,85.6,0.6,5.25,830,15.03,1.39,23.84,12000,102,39.02,25,14.49,48.8,6.94,47.56,32.68,23.44,26.47,10.58,,30,2.71,,51.1,0.04,223.6,,0.4,,,69.79
Senegal,2004,40.9,59.72,1,4,10.22,58.8,4.39,66.9,64.6,9.1,5.28,1740,21.63,8.99,13.47,5500,144,56.1,33,45.41,19.2,16.02,59.54,50.24,50.72,45.1,55.77,,75,4.95,138.32,42.1,,112.9,,2,62.69,,41.11
South Africa,2004,59,51.87,6,7,43.82,52.8,8.43,51.1,45,24.7,2.72,9010,18.47,18.32,0.28,520000,883,70.73,46,39.61,32.8,18.62,66.66,74.63,56.46,71.57,73.08,24.28,88,,4653.92,59.8,30.37,9.1,193.58,4.87,89.81,39.4,27.82
Sri Lanka,2004,18.4,73.68,3,2,11.2,15.3,1.45,79.5,34.8,8.4,2.28,5290,25.25,16.43,2.48,200,66,53.17,31,16.91,4.9,,,42.93,59.33,53.43,42.31,13.47,62,,357.31,85.4,,52.8,17.70,8.78,96.85,7.1,6.45
Tunisia,2004,64.9,73.3,3,4,37.55,20.7,8.53,86.9,24.2,13.9,2.02,7100,23.28,20.77,1.18,200,25,61.95,46,50.24,22.8,17.44,60.66,70.24,58.37,51.47,22.12,18.67,27,29.95,1043.96,85,8.44,11.1,,11.91,99.84,1.9,3.52
Venezuela,2004,88.5,73.09,6,3,32.07,16.4,8.4,55.4,52.6,15,2.66,11510,21.8,38.83,0.04,6700,32,17.56,23,9.66,9.7,17.87,40.47,12.2,10.53,14.22,28.85,12.93,58,41.55,2762.93,90.3,,37.9,,,92.11,36.9,17.46
Vietnam,2004,26.7,73.96,3,2,5.89,23.2,7.64,122.3,72.7,2.1,1.89,2780,32.6,20.14,3.8,26000,181,24.39,26,50.72,27.3,18.69,42.51,40.98,37.8,30.39,8.65,19.91,14,,493.62,59.7,1.44,30.6,,,,1.3,27.12
Albania,2005,46.7,76.08,6,1,47.88,18.3,6.04,70.3,48.3,12.5,1.72,6060,36.99,12.34,3.84,31,20,26.34,26,29.47,7.1,10.19,53.55,31.22,25.84,45.59,52.88,,66,23.31,1722.07,87.4,9.24,31.3,,11.67,,5,1.12
Bangladesh,2005,26.8,67.97,3,2,6.29,50.8,0.24,34.4,55.5,4.3,2.69,1800,25.83,20.22,1.82,1100,225,4.88,20,4.35,14.8,15.56,55.81,21.46,18.18,16.67,29.33,7.14,54,6.24,171.28,50.7,0.2,56.1,4.75,6.89,95.37,2.5,24.51
Bolivia,2005,64.2,63.54,3,3,25.88,46.6,5.23,67.6,61.1,5.4,3.6,4020,14.25,17.71,7.01,1200,158,25.37,27,18.36,16.9,14.18,53.59,29.27,26.32,25.98,43.75,16.22,72,,482.17,42.2,,154.9,23.04,5.1,,7.2,20.38
Brazil,2005,82.8,71.84,6,7,46.31,19.5,21.02,27.1,58.9,9.3,2.07,10440,17.2,20.61,0.03,42000,49,51.71,33,38.65,8.6,17.36,66.05,52.68,37.32,54.41,62.98,16.53,75,25.99,1990.64,77.7,107.45,10.1,53.23,18.19,96.08,,9.55
Burundi,2005,9.4,52.7,1,4,1.97,79.7,0.54,41.6,83.4,7.3,6.73,590,22.37,-2.87,33.1,5600,195,18.54,24,6.76,30.5,12.95,37.05,9.27,11.48,7.84,28.37,,29,2.31,,45.6,0.05,190.2,,1.48,56.49,,78.45
Central African Republic,2005,38.1,44.74,1,4,2.52,109.3,0.27,34.7,71.5,7,5.09,730,9.77,1.5,6.63,8700,687,9.27,24,8.7,10.5,6.41,30.79,2.44,5.26,8.82,22.6,,33,,,18.9,0,217.4,,0.3,48.47,,65.37
China,2005,42.5,73.77,6,7,29.84,20.3,8.52,62.9,66.5,4.1,1.51,5060,41.39,47.53,0.08,,92,31.71,33,31.4,20.3,32.09,41.33,53.17,37.8,50.49,7.69,8.57,17,19.34,1783.87,64.9,,13.6,17.58,,,1.6,18.75
Colombia,2005,73.6,72.26,6,3,50.6,18.4,11.01,35.6,53,12,2.2,7950,20.22,18.29,0.44,9200,30,52.2,39,2.9,12.1,15.45,58.77,50.24,31.58,54.9,37.98,,57,29.19,895.82,77.1,,24.7,34.46,,97.46,39.5,10.4
Congo,2005,37.5,53.64,1,4,5.08,96.3,0.24,44,71,8.2,6.8,460,11.78,8.63,16.42,41000,327,4.39,20,1.45,12,20.02,44.64,2.93,3.83,3.92,6.25,5.92,21,,87.38,24.8,,1190,,0.45,,,91.92
Ecuador,2005,61.7,74.14,6,3,45.34,24.3,5.99,56.1,55.3,6.6,2.79,7330,21.64,20.77,0.57,2000,70,25.85,23,23.19,16,14.96,56.57,18.05,23.92,22.55,34.13,,68,,799.77,75.3,4.95,38.1,,14.8,99.38,15.4,13.6
Georgia,2005,52.5,72.99,6,1,26.24,21.9,6.08,85.3,55.4,13.8,1.68,4410,33.49,15.67,4.51,1000,175,46.83,28,25.6,9.4,13.67,56.47,39.51,30.14,33.33,46.63,12.11,58,46.53,1784.96,92.5,5.41,13.7,5.53,10.79,90.88,9,16.21
Ghana,2005,47.3,58.7,3,4,13.44,56.8,1.83,98.2,67.6,3.8,4.41,2250,29,3.73,10.85,23000,203,45.85,33,52.66,10.9,9.46,31.6,50.73,48.8,52.45,57.21,21.32,82,5.71,247.6,12,,55.8,5.68,3.23,66.51,1.8,25.19
Haiti,2005,44.1,59.18,1,5,5.4,65.6,6.38,57,58.4,7.4,3.76,1380,27.42,-1.48,9.96,11000,272,2.93,18,4.83,3.6,,,6.34,1.91,11.27,11.54,,19,,37.03,23.7,,308.1,,3.13,,,54.99
Honduras,2005,48.5,71.48,3,5,18.58,25,6.5,136.5,39.6,4.2,3.29,3360,27.62,9.14,7.49,1000,73,26.83,25,26.09,23.4,20.89,57.62,30.73,28.23,30.39,37.5,14.53,66,,621.64,70.5,6.26,64.1,,17.1,91.22,46.7,27.79
India,2005,29.2,64.52,3,7,8,55.8,2.39,41.3,36.9,4.4,2.97,2840,34.28,31.53,0.23,150000,279,43.41,33,17.87,8.3,15.39,53.06,55.12,57.89,46.57,60.1,9.91,76,10.73,469.37,30.6,2.29,62,66.30,8.93,,3.6,36.79
Indonesia,2005,45.9,67.17,3,2,20.9,33.4,3.6,64,50,11.2,2.48,5790,25.08,29.23,0.93,58000,437,20.49,24,7.25,11.3,27.41,40.33,38.54,25.36,31.37,44.71,,63,17.26,500.72,52.1,9.33,101.7,28.48,5.28,93.11,,21.63
Jordan,2005,81.2,72.64,6,2,59.89,20.4,12.93,146.9,12.3,14.9,3.69,8620,34.15,-7.35,5.48,,8.6,64.88,53,42.03,5.5,17.91,68.3,57.56,61.24,57.84,31.25,24.42,39,38.88,1706.36,98.2,,85.5,,19.01,98.91,1.3,
Kazakhstan,2005,54.7,65.91,6,2,35.83,28.6,2.96,97.8,64.6,8.1,2.22,12920,30.97,39.6,0.44,1200,191,15.61,26,52.17,10.4,12.83,53.11,34.63,24.88,44.61,19.23,,31,,4012.07,97.1,14.82,9.9,18.43,3.96,98.72,11.7,0.21
Kenya,2005,21.7,53.52,3,4,12.89,54.3,3.1,64.5,60.2,9.5,4.92,2020,17.65,10.19,4.05,72000,361,17.07,22,12.08,7.1,11.82,53.71,30.24,21.05,47.55,42.31,18.67,66,2.97,132.79,28,2.55,48.3,34.07,2.87,76.1,3.6,33.6
Lebanon,2005,86.6,76.83,6,2,24.92,12.1,10.14,96.4,20.3,8.2,1.75,10830,22.72,1.99,1.09,200,11,38.54,36,17.39,4.7,8.08,79.94,48.29,43.54,50,39.42,15.32,33,44.12,2810.73,82,32.74,108.7,22.59,30.58,91.68,,
Mali,2005,32.1,52.58,1,4,6.38,96.7,0.51,54.1,38.1,8.5,6.79,1510,20.88,12.73,11.95,8900,69,42.93,28,53.62,10.2,,38.74,28.29,49.28,32.35,58.65,13.3,75,,,20.2,,190.7,,2.46,56.11,,51.81
Mexico,2005,76.3,75.28,6,5,42.56,16.7,17.21,54.6,41.1,3.5,2.52,11850,22.27,20.83,0.02,9600,21,48.78,33,33.82,24.2,17.24,61.46,58.05,40.19,61.27,56.73,,76,23.12,1869.75,78.6,30.88,26.2,27.60,10.82,96.12,9,4.06
Mongolia,2005,62.5,65.17,3,2,22.05,34.9,,122.4,55.4,6.9,2.18,5270,37.53,32.69,8.88,100,428,35.61,28,76.81,6.7,6.42,41.73,42.93,46.41,37.25,53.37,,82,44.66,1251.96,52.7,,9.6,1.81,41.66,92.43,15.8,5.03
Pakistan,2005,34.7,63.88,3,2,8.08,80,6.33,35.3,19.3,7.1,4.07,3660,19.08,15.21,1.44,4000,276,14.15,22,5.31,21.3,18.56,51.43,40,21.53,26.47,16.83,9.6,34,4.94,464.73,45.9,1.18,25.6,41.38,7.78,68.74,6.3,16.48
Panama,2005,63.7,75.97,6,5,51.95,19.4,11.48,135.7,47.9,9.8,2.56,9970,27.75,21.06,0.17,1000,62,44.88,31,40.1,16.7,8.6,74.21,57.07,49.76,58.33,62.5,,80,42.08,1459.95,69.6,,14.4,36.42,,98.23,11,10.3
Papua New Guinea,2005,13.1,60.64,3,6,1.23,55.6,1.72,,71.3,2.7,4.26,1510,,,5.9,2900,432,8.78,24,19.81,0.9,,,20.98,13.88,18.63,41.83,,64,,,19.1,3.91,27.7,126.15,1.91,,9.9,30.83
Peru,2005,75,72.46,6,3,20.14,21.3,17.1,47.4,57.6,5.2,2.68,6210,17.28,23.62,0.64,4100,153,46.34,33,18.84,18.3,18.18,54.74,32.68,29.19,55.88,49.52,14.1,73,33.18,837.29,67.6,11.42,38,31.74,4.37,98.94,11.1,14.17
Philippines,2005,46.6,67.27,3,2,40.52,27.4,5.4,97.9,49.8,7.7,3.49,5370,21.55,15.95,0.44,1100,337,34.63,25,13.53,15.3,24.05,53.5,56.1,42.11,51.47,48.56,12.43,74,27.51,577.54,67.1,11.46,23.9,38.61,8.02,89,7.5,16.58
Russia,2005,73.5,65.47,6,7,83.37,14.4,15.23,56.7,56.2,7.1,1.29,11540,20.08,33.77,,,136,23.9,25,12.56,9.8,18.3,56.96,38.05,20.57,49.51,27.88,16.62,35,72.61,5770.11,72.4,22.82,6.6,,28.37,,,0.66
Rwanda,2005,19.3,54.75,1,4,2.36,70.2,0.56,36.7,85.7,0.6,5.15,900,15.76,2.01,22.61,12000,101,27.32,25,19.32,48.8,5.63,49.79,19.02,19.62,19.12,14.42,,31,2.84,,52.2,0.23,200.1,,0.77,,,68
Senegal,2005,41.1,60.36,1,4,15.35,56.3,4.79,69.4,64.7,9.2,5.23,1840,24.49,9.08,8.16,4700,141,56.1,33,39.61,19.2,15.05,59.56,47.32,53.11,46.08,52.4,,76,5.44,157.69,42.6,,108.7,,2.52,63.76,,38.39
South Africa,2005,59.5,51.56,6,7,70.4,51.5,7.49,53.1,46.5,23.8,2.68,9660,18.31,18.06,0.27,470000,932,70.24,46,41.06,32.8,18.14,67.06,71.71,54.55,69.61,69.71,25.74,88,,4696.82,60.4,25.53,8.6,213.10,7.27,88.05,38.3,26.63
Sri Lanka,2005,18.4,73.97,3,2,16.85,12.1,1.79,73.6,34.4,7.7,2.28,5740,26.83,17.9,4.82,500,66,45.37,31,14.49,4.9,,,45.37,56.94,44.12,40.87,13.73,61,,403.65,86.4,,50,23.44,9.09,97.25,6.3,5.55
Tunisia,2005,65.1,73.5,3,4,56.52,19.6,9.66,90.3,24.3,14.2,2.04,7440,21.68,21.29,1.18,200,26,54.63,46,47.34,22.8,17.42,60.61,65.85,55.98,51.96,20.67,18.88,26,31.82,1091.93,85.6,9.73,10.1,,12.19,98.87,2.6,3.09
Venezuela,2005,88.6,73.2,6,3,46.76,15.9,12.55,60.1,51.6,11.4,2.63,13120,23,42.19,0.04,6600,32,18.05,23,14.01,17.4,16.42,38.18,18.54,10.05,12.25,27.4,15.51,59,,2850.19,90.7,21.96,28.8,,15.75,90.97,37.2,17.01
Vietnam,2005,27.3,74.14,3,2,11.29,22.6,12.74,130.7,72.6,2.1,1.89,3050,33.76,30.44,3.38,25000,176,24.88,26,61.35,27.3,18.82,42.57,48.78,45.93,28.43,8.65,20.9,17,16.05,579.92,61.4,2.97,27.6,,,90.22,1.3,24.57
Albania,2006,47.8,76.29,6,1,60.07,17.4,9.61,73.5,47.5,12.4,1.67,6830,38.98,15.39,3.48,32,18,21.95,26,29.95,7.1,10.76,53.37,38.05,26.79,51.47,49.52,,63,26.62,1218.36,88.1,13.81,22.5,,13.77,,3.1,0.87
Bangladesh,2006,27.5,68.43,3,2,13.21,48.4,1,38.1,55.8,4.2,2.6,1980,26.14,20.74,1.61,1200,225,3.41,20,8.7,15.1,16.13,55.59,26.34,22.01,17.16,32.69,7.04,53,7.12,191.61,51.8,0.35,52.1,5.36,6.92,95.86,2.9,23.31
Bolivia,2006,64.7,64.11,3,3,30.22,44.4,6.2,74.5,61.5,5.3,3.51,4280,13.87,22.87,7.69,1400,153,41.46,27,22.71,16.9,14.38,51.04,29.27,22.97,20.59,47.6,16.82,71,,513.07,43.1,,145.5,19.41,5.73,96.94,6.4,17.9
Brazil,2006,83.1,72.13,6,7,53.11,18.2,28.18,26,58.7,8.4,2,11030,17.82,20.52,0.01,42000,47,54.15,33,36.23,8.8,16.59,67.18,45.85,42.58,54.41,60.1,15.38,77,,2044.86,78.2,106.14,9.9,64.12,18.09,,,7.94
Burundi,2006,9.6,53.05,1,4,2.49,76.2,0.66,54.2,83.2,7.2,6.65,630,21.96,-17.63,34.08,4900,181,12.2,24,10.14,30.5,11.31,38.95,13.66,18.18,11.76,26.92,,49,2.31,,45.9,0.04,213.8,,1.59,72.45,,77.65
Central African Republic,2006,38.2,45.16,1,4,2.73,108.1,0.31,36.4,71.6,6.9,5,780,10.23,2.47,9.22,8200,620,10.24,24,5.8,10.5,6.54,30.56,3.9,2.87,9.8,18.75,,44,1.13,,19.2,0,215,,0.29,48.82,,65.67
China,2006,43.9,74.07,6,7,34.77,18.7,10.52,65.6,65.8,4,1.52,5870,40.93,49.66,0.05,,89,36.59,33,28.5,20.3,32.45,41.82,56.59,37.32,48.53,6.25,9.06,17,20.5,2041.97,66.1,9.58,9.3,41.62,,,1.4,17.39
Colombia,2006,73.9,72.49,6,3,67.89,17.8,15.34,38.2,51.5,11.7,2.16,8640,22.4,19.5,0.64,9500,32,55.12,39,4.83,8.4,15.65,58.12,52.68,38.28,55.88,41.83,,60,31.33,947.13,77.5,,19.1,34.57,,96.39,36.8,10.51
Congo,2006,38,54.37,1,4,7.94,93.9,0.3,44.7,71,8.2,6.73,480,14.81,8.82,15.89,37000,327,2.93,20,0.97,8.4,19.8,46.35,1.95,1.91,8.82,10.58,6.9,20,4.39,99.4,25.2,,1076.9,,0.45,,,89.8
Ecuador,2006,61.9,74.32,6,3,60.51,23.7,7.2,59.7,56.6,6.3,2.76,7790,22.46,23.42,0.42,2000,67,21.46,23,21.74,25,14.35,54.46,16.59,13.88,14.22,36.06,,68,,868.16,76.4,8.09,31.8,,14.31,99.46,17.1,9.31
Georgia,2006,52.5,73.21,6,1,38.32,20.2,7.53,89.9,55.3,13.6,1.72,5100,30.86,6.71,4.5,1000,161,58.05,28,18.36,9.4,12.73,62.32,50.24,39.71,50.98,43.75,15.45,61,37.96,1659.82,91.8,12.88,10.9,8.63,13.03,94.99,7.3,13.92
Ghana,2006,48,59.18,3,4,23.73,55.6,2.72,65.9,66.6,3.6,4.37,2420,21.64,6.1,6.13,22000,199,58.54,33,45.89,10.9,10.48,47.6,59.02,54.55,51.96,58.65,12.81,84,5.12,298.93,12.3,,47.2,3.72,3.6,66.06,1.9,23.95
Haiti,2006,45.8,59.57,1,5,12.78,64.1,6.8,59.5,58.7,7.3,3.67,1440,29.35,-1.19,12.22,8700,266,4.88,18,10.63,2,,,7.8,4.78,20.1,25.48,,21,,37.41,24.2,,252.4,,3.06,,,54.84
Honduras,2006,49.2,71.67,3,5,31.84,24.1,7.8,133.1,40.2,3.1,3.16,3620,28.34,7.32,5.76,1000,66,25.37,25,26.09,23.4,20.77,57.69,29.76,15.79,34.8,42.31,15.24,66,,636.22,71.9,8.11,59,,19.21,96.2,44.5,23.79
India,2006,29.6,64.91,3,7,14.52,53.9,2.81,45.3,35.1,4.3,2.9,3150,35.87,32.71,0.15,140000,274,47.32,33,17.39,8.3,16.06,52.87,54.63,56.94,45.59,59.13,11.03,76,11.54,510.7,31.6,2.74,78.4,86.28,8.9,,3.6,35.37
Indonesia,2006,46.7,67.37,3,2,28.02,32.1,4.76,56.7,50.4,10.3,2.49,6260,25.4,30.81,0.38,63000,433,22.93,24,9.66,11.3,27.54,40.08,43.41,27.75,43.14,43.27,,65,17.31,516.16,53.1,10.5,86.7,38.10,5.72,94.4,,27.95
