Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Sri Lanka,1996,18.5,69.37,3,2,0.39,16.7,0.05,78.9,35.8,11.3,2.27,3400,24.25,15.32,3.55,100,,54.63,,5.8,,,,46.34,56.94,56.37,37.02,16.95,,,206.26,77,,,,,,,8.76
Tunisia,1996,61.9,71.55,3,4,0.07,33.9,0.03,85.7,23.2,15.2,2.51,4550,25.01,23.51,0.68,100,,49.27,,49.76,,20.97,51.7,66.83,45.93,52.94,35.1,19.84,,13.15,785.98,78.6,,,19.21,,95.46,,9.75
Venezuela,1996,86.6,71.22,6,3,2.58,21.5,0.25,57.8,43.9,12.4,3.02,10840,16.55,31.74,0.06,7200,,20.49,25,24.64,,13.65,46.36,25.37,22.97,45.59,42.79,13.96,,,2641.86,85.9,,,14.74,,,22.05,9.52
Vietnam,1996,22.6,72.13,3,2,0.09,29.9,0,92.7,73.5,1.9,2.53,1610,28.1,17.13,3.86,12000,,39.51,,58.45,,15.18,42.51,34.63,37.32,28.43,16.83,19.3,,4.04,187,46.2,,,,,,,39.59
Albania,1997,40,72.9,6,1,0.1,26.8,0.05,43.9,52.9,14.5,2.42,2900,20.49,-3.95,6.98,3,,,,,,8.11,51.92,,,,,9.48,,12.73,680.69,81,,,,,,49.87,1.31
Bangladesh,1997,22.4,63.36,3,2,0.02,74,0,26.3,56.6,2.9,3.48,1170,21.82,16.53,2.04,200,,,,,9.1,14.86,52.54,,,,,,,,81.43,42.2,,,5.74,,,,34.54
Bolivia,1997,60.4,58.99,3,3,1.48,66.8,0.45,50.5,59.7,4.3,4.33,3180,19.63,11.38,9.03,1400,,,20.5,,,16.78,52.21,,,,,12.62,,,391.57,35,,,4.14,,,,19.26
Brazil,1997,79,68.62,6,7,2.73,34.8,0.79,16.6,53.2,7.7,2.45,8250,17.76,15.16,0.03,36000,,,35.6,,6.6,14.81,68.96,,,,,10.2,,,1755.22,72.4,,,,,,,13.99
Burundi,1997,7.6,50.12,1,4,0.01,100,0.01,24.3,86.4,7.2,7.22,550,6.1,1.49,5.87,16000,,,,,,10.96,36.65,,,,,11.42,,,,43.5,,,,,,,83.62
Central African Republic,1997,37.4,45.85,1,4,0.04,115.1,0.01,55.8,70.6,6.9,5.55,620,10.08,8.03,9.87,22000,,,,,3.5,6.09,30.62,,,,,,,,,16.2,,,,,,,74.55
China,1997,32.9,70.52,6,7,1.05,35,0.03,33.6,71.7,4.6,1.52,2250,36.34,39.84,0.22,,,,28.8,,,32.87,35,,,,,,,5.45,852.74,55.4,,,,,90.19,,41.55
Colombia,1997,71.1,70.08,6,3,3.34,23.4,0.55,35.6,41,11.6,2.54,6380,20.92,15.01,0.19,6300,,,22.3,,11.7,14.92,56.92,,,,,,,20.28,895.86,73.1,,,,,,67.18,16.86
Congo,1997,33.7,49.02,1,4,0.02,112.5,0,33.8,70.2,8.2,7.11,450,2.5,6.25,2.77,57000,,,,,,6.33,30.33,,,,,4.05,,,93.83,21.3,,,,,,,
Ecuador,1997,58.8,71.96,6,3,1.07,32.1,0.11,45,46.4,7.5,3.23,5720,20.31,18.36,0.56,2600,,,,,3.7,18.72,54.7,,,,,,,18.61,656.18,66,,,7.18,,96.07,,15.04
Georgia,1997,53.4,70.71,6,1,0.61,35.9,0.06,57.8,58.1,12.2,1.75,2310,17.84,-8.7,6.65,500,,,,,6.9,10.66,47.14,,,,,8.33,,44.13,1278.14,97.6,,,,,85.12,5.79,17.62
Ghana,1997,41.7,57.16,3,4,0.12,69.8,0.03,85.4,71.8,7.2,4.87,1590,24.81,4.22,7.3,35000,,,,,9,10.13,31.22,,,,,,,,394.28,9.3,,,16.39,,,,35.78
Haiti,1997,33.8,56.89,1,5,0,82.4,,36.9,57.1,10.9,4.67,1310,24.53,8.54,9.7,31000,,,,,3.6,,,,,,,,,,41.67,20,,,,,57.34,,
Honduras,1997,43.9,69.63,3,5,0.25,34.3,0.17,98,40.6,3.3,4.41,2500,32.17,26.54,6.66,2700,,,,,,17.95,47.12,,,,,,,11.7,427.43,58.9,,,9.52,,,,21.24
India,1997,27,61.37,3,7,0.09,73.1,0.07,22.2,34.8,4.2,3.51,1660,24.51,23.3,0.39,280000,,,27.5,,7.2,15.85,47.7,,,,,8.85,,6.57,376.65,22.7,,,,,,4.35,43.11
Indonesia,1997,38.4,65.58,3,2,0.46,46.7,0.19,56,49.2,4.7,2.58,4830,31.75,31.48,0.38,5200,,,27.2,,11.4,26.79,39.58,,,,,16.01,,13.38,331.25,43.5,,,13.46,,92.5,,55.61
Jordan,1997,79,71.26,6,2,0.99,24.9,0.6,120.9,12.3,11.8,4.4,5360,25.73,3.46,6.72,,,,,,0,13.97,70.84,,,,,19.06,,23.38,1237.34,97.6,,,,,,,
Kazakhstan,1997,56,64.46,6,2,0.07,42.7,0.06,72.4,63.5,13,2,6500,19.63,17.1,0.65,1000,,,,,13.4,13.98,61.2,,,,,6.79,,,3173.79,96.6,,,,,,16.67,7.18
Kenya,1997,18.9,52.44,3,4,0.02,71.1,0.03,54.1,65.2,9.9,5.1,1630,15.14,6.46,3.47,160000,,,,,3,12.91,51.32,,,,,16.06,,,127.9,26.2,,,13.82,,,,21.5
Lebanon,1997,85.5,72.98,6,2,12.09,19.9,1.24,62.1,18.8,6.2,2.47,9670,29.22,-3.81,1.62,100,,,,,2.3,13.98,67.65,,,,,11.93,,,2507.53,,,,17.04,,84.19,,
Mali,1997,26.4,47.97,1,4,0.03,122.6,0.01,57,36.8,8.3,6.98,1030,20.66,11.28,16.22,8900,,,,,12.2,,40.09,,,,,,,1.46,,16.7,,,,,,,71.4
Mexico,1997,73.9,73.44,6,5,1.76,25.8,0.63,49.3,39.9,4.1,2.92,8690,19.58,20.72,0.02,11000,,,26.6,,14.2,20.9,61.06,,,,,9.36,,15.56,1514.64,72.3,,,32.59,,95.51,14.2,14.19
Mongolia,1997,56.7,61.74,3,2,0.09,56.6,0.11,100,55.3,6.3,2.43,3310,25.03,30.38,21.47,100,,,,,7.9,9.11,34.55,,,,,10.57,,18.4,1057.93,46.5,,,4.57,,85.11,,22.56
Pakistan,1997,32.3,62.01,3,2,0.1,93.3,0.03,36.9,14.8,5.8,5.05,2540,17.92,13.23,1.45,1000,,,25.3,,2.3,15.88,49.79,,,,,12.74,,,363.68,31.4,,,18.91,,,6.93,19.68
Panama,1997,59.8,74.53,6,5,0.82,23,0.54,165.3,43.7,13.4,2.81,7110,38.81,27.45,0.45,1000,,,,,9.7,13.22,71.67,,,,,10.88,,,1174.31,64.6,,,20.37,,,11.3,15.01
Papua New Guinea,1997,13.7,57.91,3,6,0.08,59.9,0.1,99.2,70,3,4.63,1480,21.06,20.16,7.51,3600,,,,,1.8,9.7,31.59,,,,,23.72,,,,19.5,,,,,,,13.92
Peru,1997,71.8,69.03,6,3,1.7,36.9,0.4,33.5,57.5,5.3,3.14,4710,23.79,19.27,0.71,4900,,,,,10.8,16.98,58.64,,,,,14.4,,25.69,606.75,60,,,26.65,,87.51,,17.93
Philippines,1997,48.2,66.32,3,2,1.85,31.8,0.14,108.3,49.3,7.9,3.92,3360,24.78,14.44,0.78,500,,,30.5,,11.1,22.26,48.99,,,,,16.98,,,462.2,61.8,,,38.08,,,,17.66
Russia,1997,73.4,66.95,6,7,0.33,21.6,0.47,47.3,50.8,11.8,1.23,5580,21.98,24.18,,,,,22.7,,10.2,,55.51,,,,,,,46.21,4935.62,72.5,,,,,,,1.13
Rwanda,1997,12.5,39.8,1,4,0,121.7,0,33.5,85.8,0.6,5.93,580,13.81,-4.06,12.52,19000,,,,,17.1,12.04,35.43,,,,,,,,,43,,,,,,,74.24
Senegal,1997,39.9,57.3,1,4,0.08,71.2,0.03,60.9,63.8,10.4,5.83,1320,14.79,8.55,9.2,5000,,,,,11.7,16.47,56.75,,,,,14.71,,3.25,117.1,38.9,,,,,53.67,,53.97
South Africa,1997,55.4,59.61,6,7,4.28,50.9,1.63,46.8,46.5,22.9,2.98,7010,17.72,18.84,0.33,830000,,,49.5,,25,20.08,63.09,,,,,23.53,,,5061.2,55.1,,,150.76,,,57.11,33.52
