Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
United Arab Emirates,1990,71.72015,,4,134000000000,Asia,Western Asia,ARE
United Kingdom,1990,75.88049,18300,5,958000000000,Europe,Northern Europe,GBR
United States,1990,75.21463,24200,5,5980000000000,Americas,Northern America,USA
Uruguay,1990,72.53954,2840,3,19800000000,Americas,South America,URY
Uzbekistan,1990,66.68417,,,40700000000,Asia,Central Asia,UZB
Vanuatu,1990,63.19685,1200,2,242000000,Oceania,Melanesia,VUT
"Venezuela, RB",1990,69.82861,2550,3,186000000000,Americas,South America,VEN
Vietnam,1990,70.4182,130,1,64100000000,Asia,South-eastern Asia,VNM
Virgin Islands (U.S.),1990,74.788,,4,,Americas,Caribbean,VIR
West Bank and Gaza,1990,68.05288,,,,Asia,Western Asia,PSE
"Yemen, Rep.",1990,57.7642,,2,25900000000,Asia,Western Asia,YEM
Zambia,1990,44.31246,430,1,12150601755,Africa,Eastern Africa,ZMB
Zimbabwe,1990,59.58307,860,2,17118317122,Africa,Eastern Africa,ZWE
Taiwan,1990,74.5,8431,4,205000000000,Asia,Eastern Asia,TWN
Afghanistan,1991,50.64098,,1,,Asia,Southern Asia,AFG
Albania,1991,71.91841,420,2,6510000000,Europe,Southern Europe,ALB
Algeria,1991,66.95873,1990,2,175000000000,Africa,Northern Africa,DZA
American Samoa,1991,,,3,,Oceania,Polynesia,ASM
Andorra,1991,,18300,,,Europe,Southern Europe,AND
Angola,1991,41.20634,1210,2,35300000000,Africa,Middle Africa,AGO
Antigua and Barbuda,1991,71.40059,6160,3,724000000,Americas,Caribbean,ATG
Argentina,1991,71.76329,3950,3,267000000000,Americas,South America,ARG
Armenia,1991,67.73829,,2,7810000000,Asia,Western Asia,ARM
Aruba,1991,73.43312,,3,,Americas,Caribbean,ABW
Australia,1991,77.27561,18200,5,308000000000,Oceania,Australia and New Zealand,AUS
Austria,1991,75.61707,21730,5,159000000000,Europe,Western Europe,AUT
Azerbaijan,1991,64.42415,,2,40400000000,Asia,Western Asia,AZE
"Bahamas, The",1991,70.7918,11300,4,3980000000,Americas,Caribbean,BHS
Bahrain,1991,72.70951,9800,3,12900000000,Asia,Western Asia,BHR
Bangladesh,1991,59.05027,310,1,94520597790,Asia,Southern Asia,BGD
Barbados,1991,71.40334,7520,3,2220000000,Americas,Caribbean,BRB
Belarus,1991,70.37805,,3,54346307087,Europe,Eastern Europe,BLR
Belgium,1991,76.1922,20700,5,197000000000,Europe,Western Europe,BEL
Belize,1991,71.05441,2380,2,715000000,Americas,Central America,BLZ
Benin,1991,53.93571,380,1,5070000000,Africa,Western Africa,BEN
Bermuda,1991,74.02951,27400,4,1550000000,Americas,Northern America,BMU
Bhutan,1991,53.25193,500,1,831000000,Asia,Southern Asia,BTN
Bolivia,1991,55.65002,740,2,17869461061,Americas,South America,BOL
Bosnia and Herzegovina,1991,70.5728,,,,Europe,Southern Europe,BIH
Botswana,1991,61.92451,2870,3,8020000000,Africa,Southern Africa,BWA
Brazil,1991,65.74268,3250,3,1040000000000,Americas,South America,BRA
British Virgin Islands,1991,,,,,Americas,Caribbean,VGB
Brunei Darussalam,1991,73.29505,13700,4,15100000000,Asia,South-eastern Asia,BRN
Bulgaria,1991,71.56098,1620,2,42800000000,Europe,Eastern Europe,BGR
Burkina Faso,1991,49.31646,360,1,5419101285,Africa,Western Africa,BFA
Burundi,1991,47.76522,210,1,4130000000,Africa,Eastern Africa,BDI
Cabo Verde,1991,65.96351,900,2,384000000,Africa,Western Africa,CPV
Cambodia,1991,53.83634,,1,,Asia,South-eastern Asia,KHM
Cameroon,1991,53.62427,870,2,21500000000,Africa,Middle Africa,CMR
Canada,1991,77.55341,20700,5,565000000000,Americas,Northern America,CAN
Cayman Islands,1991,,,,,Americas,Caribbean,CYM
Central African Republic,1991,48.66407,460,1,1820000000,Africa,Middle Africa,CAF
Chad,1991,47.02659,290,1,4794667827,Africa,Middle Africa,TCD
Channel Islands,1991,75.63693,,4,,Europe,Western Europe,CHI
Chile,1991,73.12134,2510,2,65300000000,Americas,South America,CHL
China,1991,69.1821,350,6,1260000000000,Asia,Eastern Asia,CHN
Colombia,1991,68.45132,1190,2,176000000000,Americas,South America,COL
Comoros,1991,57.14522,550,1,416000000,Africa,Eastern Africa,COM
"Congo, Dem. Rep.",1991,49.17493,,1,27100000000,Africa,Middle Africa,COD
"Congo, Rep.",1991,54.52239,950,2,8580000000,Africa,Middle Africa,COG
Costa Rica,1991,75.84193,2350,2,16515224044,Americas,Central America,CRI
Cote d'Ivoire,1991,52.23273,740,2,26200000000,Africa,Western Africa,CIV
Croatia,1991,72.18537,,,,Europe,Southern Europe,HRV
Cuba,1991,74.70056,2340,2,86400000000,Americas,Caribbean,CUB
Curacao,1991,,,,,Americas,Caribbean,CUW
Cyprus,1991,76.67139,9670,4,7950000000,Asia,Western Asia,CYP
Czech Republic,1991,71.89829,,,119000000000,Europe,Eastern Europe,CZE
Denmark,1991,75.1578,25700,5,97900000000,Europe,Northern Europe,DNK
Djibouti,1991,56.81615,,2,1170000000,Africa,Eastern Africa,DJI
Dominica,1991,,2390,2,321000000,Americas,Caribbean,DMA
Dominican Republic,1991,68.42222,1030,2,25500000000,Americas,Caribbean,DOM
Ecuador,1991,69.49327,1480,2,53200000000,Americas,South America,ECU
"Egypt, Arab Rep.",1991,64.95534,730,1,229000000000,Africa,Northern Africa,EGY
El Salvador,1991,64.83154,950,2,16500000000,Americas,Central America,SLV
Equatorial Guinea,1991,48.60595,300,1,282000000,Africa,Middle Africa,GNQ
Eritrea,1991,49.01849,,,,Africa,Eastern Africa,ERI
Estonia,1991,69.37317,,3,,Europe,Northern Europe,EST
Ethiopia,1991,47.50537,250,1,19400000000,Africa,Eastern Africa,ETH
Faroe Islands,1991,76.36341,,4,,Europe,Northern Europe,FRO
Fiji,1991,65.79332,1790,2,2790000000,Oceania,Melanesia,FJI
Finland,1991,75.22756,25100,5,88000000000,Europe,Northern Europe,FIN
