Country,ISO,Region,Year,World Bank Classification,r_Gross Domestic Product (PPP),y_Life Expectancy (years),x_GNI per capita (US$)
Eritrea,ERI,Africa,1991,0,,49.0,
Estonia,EST,Europe,1991,3,,69.4,
Ethiopia,ETH,Africa,1991,1,19400000000,47.5,250
Faroe Islands,FRO,Europe,1991,4,,76.4,
Fiji,FJI,Oceania,1991,2,2790000000,65.8,1790
Finland,FIN,Europe,1991,5,88000000000,75.2,25100
France,FRA,Europe,1991,5,1080000000000,76.8,21600
French Polynesia,PYF,Oceania,1991,4,,69.1,16200
Gabon,GAB,Africa,1991,3,13200000000,61.3,5160
"Gambia, The",GMB,Africa,1991,1,958000000,52.5,410
Georgia,GEO,Asia,1991,2,20300000000,70.0,
Germany,DEU,Europe,1991,5,1680000000000,75.3,22900
Ghana,GHA,Africa,1991,1,19700000000,57.2,420
Gibraltar,GIB,Europe,1991,3,,,
Greece,GRC,Europe,1991,3,144000000000,77.1,9850
Greenland,GRL,Americas,1991,4,,65.0,16500
Grenada,GRD,Americas,1991,2,493000000,68.7,2440
Guam,GUM,Oceania,1991,3,,72.3,
Guatemala,GTM,Americas,1991,2,32700000000,62.8,960
Guinea,GIN,Africa,1991,1,4650000000,50.5,430
Guinea-Bissau,GNB,Africa,1991,1,1120000000,49.4,230
Guyana,GUY,Americas,1991,1,1490000000,63.6,390
Haiti,HTI,Americas,1991,1,,54.9,
Honduras,HND,Americas,1991,1,10800000000,67.1,620
Hong Kong,HKG,Asia,1991,4,109000000000,77.9,14320
Hungary,HUN,Europe,1991,3,85900000000,69.4,
Iceland,ISL,Europe,1991,5,5810000000,78.0,25100
India,IND,Asia,1991,1,1040000000000,58.4,350
Indonesia,IDN,Asia,1991,1,591000000000,63.6,620
Iraq,IRQ,Asia,1991,2,48300000000,66.8,
Ireland,IRL,Europe,1991,5,50800000000,75.0,13100
Isle of Man,IMN,Europe,1991,,,,
Israel,ISR,Asia,1991,4,68400000000,76.8,11500
Italy,ITA,Europe,1991,5,1100000000000,77.0,20300
Jamaica,JAM,Americas,1991,2,12400000000,72.0,1760
Japan,JPN,Asia,1991,5,2540000000000,79.1,28300
Jordan,JOR,Asia,1991,2,15200000000,70.2,1160
Kazakhstan,KAZ,Asia,1991,2,127000000000,68.0,
Kenya,KEN,Africa,1991,1,37700000000,58.2,350
Kiribati,KIR,Oceania,1991,2,94839970,60.8,960
North Korea,PRK,Asia,1991,2,,69.3,
South Korea,KOR,Asia,1991,3,413000000000,71.7,7550
Kosovo,XKX,Europe,1991,0,,67.9,
Kuwait,KWT,Asia,1991,4,,72.4,
Kyrgyz Republic,KGZ,Asia,1991,2,9390000000,68.6,
Lao PDR,LAO,Asia,1991,1,4780000000,54.1,210
Latvia,LVA,Europe,1991,3,,69.0,
Lebanon,LBN,Asia,1991,2,19600000000,70.5,1780
Lesotho,LSO,Africa,1991,1,1570000000,59.6,620
Liberia,LBR,Africa,1991,1,,47.4,
Libya,LBY,Africa,1991,3,,69.0,
Liechtenstein,LIE,Europe,1991,,,,47700
Lithuania,LTU,Europe,1991,3,,70.4,
Luxembourg,LUX,Europe,1991,5,13200000000,75.5,32100
Macao,MAC,Asia,1991,3,8570000000,75.5,9550
"Macedonia, FYR",MKD,Europe,1991,0,10200000000,71.3,
Madagascar,MDG,Africa,1991,1,12000000000,51.6,220
Malawi,MWI,Africa,1991,1,5100000000,43.6,210
Malaysia,MYS,Asia,1991,2,139000000000,71.0,2530
Maldives,MDV,Asia,1991,1,,62.3,
Mali,MLI,Africa,1991,1,8030000000,46.8,320
Malta,MLT,Europe,1991,3,3630000000,75.4,8080
Marshall Islands,MHL,Oceania,1991,2,91200000,,
Mauritania,MRT,Africa,1991,1,3870000000,58.6,540
Mauritius,MUS,Africa,1991,2,5450000000,70.0,2620
Mexico,MEX,Americas,1991,3,555000000000,71.2,3200
"Micronesia, Fed. Sts.",FSM,Oceania,1991,2,191000000,66.3,
Moldova,MDA,Europe,1991,2,,67.4,
Monaco,MCO,Europe,1991,,,,82500
Mongolia,MNG,Asia,1991,2,6820000000,60.5,1200
Montenegro,MNE,Europe,1991,0,,74.5,
Morocco,MAR,Africa,1991,2,70300000000,65.2,1230
Mozambique,MOZ,Africa,1991,1,3510000000,43.5,200
Myanmar,MMR,Asia,1991,1,20000000000,59.0,
Namibia,NAM,Africa,1991,2,5840000000,61.3,2170
Nauru,NRU,Oceania,1991,,,,
Nepal,NPL,Asia,1991,1,16000000000,55.1,210
Netherlands,NLD,Europe,1991,5,299000000000,77.0,21000
New Caledonia,NCL,Oceania,1991,3,,70.4,15200
New Zealand,NZL,Oceania,1991,5,50900000000,76.0,12200
Nicaragua,NIC,Americas,1991,1,8340000000,64.9,220
Niger,NER,Africa,1991,1,4910000000,44.5,290
Nigeria,NGA,Africa,1991,1,192000000000,46.1,270
Northern Mariana Islands,MNP,Oceania,1991,,,,
Norway,NOR,Europe,1991,5,83300000000,77.0,27800
Oman,OMN,Asia,1991,3,45000000000,67.8,6040
Pakistan,PAK,Asia,1991,1,231000000000,60.4,420
Palau,PLW,Oceania,1991,,166000000,,
Panama,PAN,Americas,1991,2,14100000000,73.3,2730
Papua New Guinea,PNG,Oceania,1991,2,4890000000,56.0,870
Paraguay,PRY,Americas,1991,2,17600000000,68.2,
Peru,PER,Americas,1991,2,79200000000,66.0,1180
Philippines,PHL,Asia,1991,2,165000000000,65.5,720
Poland,POL,Europe,1991,2,226000000000,70.6,
Portugal,PRT,Europe,1991,3,127000000000,74.0,8190
Puerto Rico,PRI,Americas,1991,3,60200000000,74.0,6360
Qatar,QAT,Asia,1991,4,,75.3,
Romania,ROU,Europe,1991,2,110000000000,69.8,
Russian Federation,RUS,Europe,1991,3,1170000000000,68.5,3440
Rwanda,RWA,Africa,1991,1,4020000000,29.7,320
Samoa,WSM,Oceania,1991,2,388000000,65.6,
San Marino,SMR,Europe,1991,4,,,
Sao Tome and Principe,STP,Africa,1991,1,,61.9,
Saudi Arabia,SAU,Asia,1991,3,421000000000,69.6,8010
Senegal,SEN,Africa,1991,2,9530000000,57.4,710
Serbia,SRB,Europe,1991,0,,71.5,
Seychelles,SYC,Africa,1991,3,678000000,,5180
Sierra Leone,SLE,Africa,1991,1,3690000000,36.7,190
Singapore,SGP,Asia,1991,4,74500000000,75.6,13000
Sint Maarten (Dutch part),SXM,Americas,1991,,,,
Slovak Republic,SVK,Europe,1991,0,,70.9,
Slovenia,SVN,Europe,1991,0,,73.4,
Solomon Islands,SLB,Oceania,1991,1,396000000,57.2,
Somalia,SOM,Africa,1991,1,,45.3,
South Africa,ZAF,Africa,1991,3,241000000000,62.3,3320
South Sudan,SSD,Africa,1991,0,,44.2,
Spain,ESP,Europe,1991,5,561000000000,77.0,13700
Sri Lanka,LKA,Asia,1991,1,43700000000,69.8,500
St. Kitts and Nevis,KNA,Americas,1991,3,382000000,,4940
